ui,vi,wi
-24.89,0.01,-13.42
25.69,2.12,-0.54
25.56,1.87,-0.82
-23.89,1.86,11.69
76.2,2.89,-13.63
74.45,1.63,-13.21
-25.83,-0.37,12.02
-29.08,1.31,12.53
-27.11,1.64,12.35
-29.62,1.73,12.8
-78.7,0.05,0.27
21.77,2.63,26.66
-76.77,2.74,0.6
-25.38,3.07,13.51
-25,-0.59,-12.17
-24.49,1.55,-12.52
25.85,1.35,0.7
26.51,0.63,-0.01
27.34,1.48,-0.06
26.32,-1.02,-0.08
25.52,-1.02,-0.31
24.41,0.15,-0.13
25.49,-1.37,-0.17
25.24,-0.24,-0.44
23.81,0.13,0
-25.54,-0.3,12.61
-75.34,1.86,-0.52
-25.79,0.73,-13.42
-26.71,0.31,-13.5
73.21,0.3,13.1
24.81,1.14,0
-24.33,0.06,-12.71
26.28,1.71,0.32
25.94,-0.91,-0.17
26.03,-2.8,0.01
-24.97,-52.03,12.79
-75.37,-2.72,0.23
-76.16,-2.85,0.35
-75.52,-2.27,0.4
25.42,-51.94,0.57
24.92,-0.2,0.51
24.58,1.97,0.3
25.11,1.97,0.4
25.51,-1.32,0.06
25.58,-1.55,-0.1
-75.63,-2.72,-0.83
-23.74,-0.65,11.85
-26.76,0.24,12.97
27.93,-0.2,-0.71
26.91,-0.17,-1.07
28.36,0.23,-1.03
28.04,1.79,-1.42
27.52,1.15,-1.37
25.65,1.31,-0.97
-22.7,-0.06,11.37
-22.85,1.4,-14
27.48,0.82,-1.25
27.23,1.29,-1.37
25.85,-1.26,-1.26
26.44,-0.21,-1.37
26.84,-0.55,-0.89
28.49,0.92,-0.78
76.7,0.86,-13.48
80.44,-0.4,-14.37
-25.42,-0.15,12.21
-21.77,-0.82,11.27
28.31,-1.02,-1
-24.02,-2.06,12.03
-73.73,-49.02,-1.53
-20.06,-0.48,-14.76
25.54,0.24,-0.57
26.6,-48.75,-0.6
75.88,0.78,12.3
-26.37,-1.84,12.24
-27.75,-0.73,13.04
24.79,-2.94,0.37
23.7,-1.98,0.68
24.04,-1.09,0.88
-25.02,-0.23,14.07
-25.4,-0.82,13.8
24.86,0.38,0.87
-78.45,2.36,1.22
-76.63,0,0.66
-79.19,-0.52,1.27
26.3,-1.46,25.9
-18.35,-2.22,-13.31
-19.86,-0.06,-12.62
27.03,-0.43,-25.65
31.6,-0.51,-0.91
77.24,-1.63,-13.23
25.67,-0.44,-0.41
-23,-0.96,-13.98
-69.91,1.96,-1.7
76.23,1.56,11.96
28.27,-2.08,-1.57
-23.77,-2.1,11.71
-20.48,-4.89,10.76
-21.52,0.26,11.37
26.3,-49.34,-26.14
127.64,-0.31,-0.03
30.16,-52.31,-0.23
30.34,-0.6,-0.68
29.57,2.19,24.77
-20.04,0.71,-14.5
-20.52,-0.28,-13.95
32.37,1.32,-1.88
82.81,2.63,10.8
76.77,2.43,-13.42
-22.31,3.59,11.59
26.62,-45.28,-0.85
77.88,2.47,10.93
25.22,2.11,-0.63
75.87,0.87,11.96
-22.05,-0.07,-14.39
27.54,1.38,-0.76
29.15,1.08,-0.97
28.65,0.77,-1.03
27.12,0.74,-0.46
26.24,0,-0.23
24.92,0.88,0.15
25.11,0.94,0.1
23.37,-1.51,0.41
26.51,-0.86,0.78
-24.12,0.54,13.59
-26.37,1.76,14.53
24.6,1.44,1.75
24.07,3.99,2.1
23.61,1.26,1.3
-26.37,0.08,-10.81
25.63,0.49,2.52
24.36,0.49,2.98
25.17,1.85,2.17
24.32,1.25,2.38
-25.22,1.79,-10.44
26.03,1.25,2.41
25.6,0.46,2.63
27.25,-2.97,2.26
27.99,1,2.45
27.77,-0.93,2.59
25,0.15,2.25
-22.9,-2.64,14.47
-22.16,-3.44,-11.69
78.21,-1.49,14.4
-23.17,0.06,-12.16
27.43,-1.21,0.71
-22.85,-0.6,13.49
-22.69,-1.74,13.78
28,0.35,1.24
-22.94,0.86,-11.95
74.72,-0.06,13.75
23.52,0.52,0.31
23.7,3.57,0.17
24.66,3.97,0.6
26.44,3.55,0.52
27.54,2.07,0.32
26.69,1.65,-0.24
25.2,0.87,-0.38
26.15,0.68,-0.82
25.51,-1.19,-0.77
27.3,-0.46,-1.42
26.12,-0.13,-1.35
25.31,-1.94,-0.6
26.03,1.75,-0.6
24.84,1.71,-0.54
25.76,0.27,-1.32
26.06,1.41,-1.09
-24,1.7,11.37
27.88,1.24,-0.08
28.79,1.63,-0.1
28.65,-0.31,0.1
29.35,-1.7,0.13
28.99,-0.32,0.17
29.31,3.26,-0.31
26.66,1.97,-0.1
28.31,1.74,-0.74
29.87,2.08,-0.93
30.27,1.83,-0.49
29.69,0.88,-0.82
29.87,-0.44,-1.14
30.88,0.08,-1.75
28.45,-2.26,-1.05
28.45,0.13,-1.07
27.02,0.03,-1.21
26.23,-0.94,-1.21
27.45,-3.2,-0.7
28.99,0.91,-0.54
27.59,-0.07,-0.74
27.32,-1.62,-0.49
27.52,0.66,-0.54
28.33,0.26,-0.74
26.19,1.03,-0.38
25.52,0.88,-0.17
26.08,1.6,0.19
26.76,-3.88,0.8
25.44,-1.75,0.98
-25.06,-48.64,-12.72
-24.93,-48.53,-12.31
75.08,-1.22,13.74
25.67,0.46,0.81
26.28,0.2,0.88
26.89,-0.07,0.81
26.62,0.19,0.7
25.92,-47.33,0.89
26.71,0.87,0.77
24.35,-48.87,1.03
-24.35,-47.31,13.31
-26.26,2.72,13.95
29.37,-49.14,0.27
27.12,-0.85,0.26
26.89,-0.35,0.13
29.12,-1.1,0.21
-72.04,-0.94,0.41
-21.58,-1.16,-13.61
-23.11,-1.89,-13.97
26.53,1.47,-0.44
26.71,-0.23,-1.1
24.28,-0.2,-0.78
25.08,-0.66,-0.92
23.65,-0.43,-0.43
25.56,1.75,-0.12
26.06,1.68,-0.38
27.3,1.42,-0.57
27.57,0.93,-0.51
29.15,0.43,-0.87
27.73,-0.48,-0.41
25.47,-1.21,-0.8
26.85,0.41,-2.25
-20.61,0.2,10.9
-23.63,2.1,11.29
-70.46,-1.21,-2.26
-21.46,-2.48,11.9
-72.03,-0.12,-1.2
-69.91,-2.47,-1.68
-69.52,-1.03,-1.04
-70.57,0,-1.48
-69.06,-1.94,-1.19
-72.4,-1.87,-1.09
-19,-2,-13.83
32.13,-1.44,-0.7
-21.07,-0.41,-12.91
-19.32,-2.41,11.67
-20.87,1.75,-14.02
29.98,0.7,-0.65
27.7,-2.83,-0.85
80.22,-2.99,-13.16
27.45,0.46,-0.01
-22.98,1.93,12.61
25.47,2.03,0.74
25.58,3.7,1.04
24.92,1.88,1.05
-22.67,0.82,15
76.77,-2.29,-11.11
29.12,-4.03,2.58
-20.87,-1.52,-12.25
29.03,-4.41,1.32
26.21,-1.94,1.44
26.69,-0.88,0.76
27.07,-1.37,0.76
29.49,-1.87,0.88
26.87,-0.7,0.71
27.23,0.38,0.76
24.48,3.97,1.09
23.7,1.64,1.18
23.64,2.18,1.4
26.53,1.54,1.24
29.39,-1.67,1.27
22.72,-1.26,28.13
-25,-1.9,14.06
-74.33,-1.62,1.42
-73.4,-50.26,0.88
-23.69,1.65,-11.84
-72.39,1.26,0.73
-23.7,2.11,13.42
-72.83,1.64,-0.1
-74.57,3.22,-0.48
-25.6,1.49,-12.4
26.73,0.93,0.27
27,1.27,0.08
25.31,2.72,0.24
25,1.54,0.54
23.83,4.89,0.35
-24,1.81,-13.23
-23.54,2.39,-12.83
24.65,2.72,0.92
75.84,4.39,13.3
25.78,1.74,0.46
26.08,1.15,0.99
-21.95,-0.23,-11.72
26.12,1.04,0.89
27.21,-0.35,0.88
24.33,2.01,1.09
27.88,0.74,1.81
28.13,0.15,1.61
31.13,-0.65,1.35
-20.92,0.03,14.03
-74.48,-48.51,0.91
-74.94,0.98,0.78
-25.94,0.6,-12.25
-23.19,0.97,-11.82
25.97,1.48,1.04
26.24,1.51,0.99
25.2,1.7,1.55
25.13,3.17,1.54
28.15,3.46,0.62
23.79,1.13,1.61
23.96,1.29,1.33
26.01,-2.52,1.16
30.97,-2.77,0.44
30.34,-3.06,0.17
-21.4,-2.48,13.32
77.52,-1.14,-12.21
24.65,-0.52,1.46
25.33,-0.38,26.44
-27.43,2.19,-12.22
-21.78,1.81,-11.77
-19.58,1.76,-11.89
30.93,-0.23,1.55
26.96,-0.35,2
31.52,-1.11,26.98
-70.02,-0.74,0.23
-73.6,0.6,0.91
-21.13,-1.9,-13.03
27.72,0.1,0.57
28.85,1.52,0.91
27.63,1.89,0.62
27.3,-0.46,1.04
26.51,-1.05,0.73
28.27,-0.57,0.66
31.45,-0.31,1.04
27.09,1.14,1.37
27.79,1.37,0.82
28.63,0.52,0.44
27.45,1.43,0.49
28.56,-44.58,0.52
26.58,3.13,-25.49
-70.75,-47.6,-0.27
77.42,2.82,12.92
29.26,1.94,-0.38
25.45,2.92,0.31
24.19,2.71,0.59
25.49,3.06,0.57
27.63,1.97,0.74
26.75,2.38,0.13
26.26,2.09,-0.01
25.85,2.38,-0.06
26.15,2.05,-0.1
25.79,2.31,-0.19
25.94,2.17,-0.24
25.69,2.27,-0.54
25.83,2.76,-0.87
25.29,1.36,-1.09
25.18,2.61,-0.81
25.31,0.63,-0.98
26.62,3.42,-1.48
26.8,2.84,-1.13
75,1.48,-13.89
24.24,-1.63,-26.82
-77.34,-1.75,-0.37
27.86,-1.95,-27.05
-72.53,-3.13,-1.62
-76.38,-1.15,-0.57
-73.4,-48.66,-0.87
-22.56,-0.46,-13.84
-73.96,-0.06,-1.21
-70.62,0.48,-0.49
-72.07,-46.25,-1.6
-73.28,1.15,-1.08
-74.68,1.48,0.24
-81.16,5.99,1.18
-77.91,2.81,0.78
-75.19,3.68,0.52
25.78,3.28,-25.31
27.88,1.53,0.77
24.04,2.96,0.94
75.36,2.59,-12.11
-75.76,2.67,0.35
-77.49,3.33,0.71
-25.45,1.64,13.79
29.3,-47.09,27.48
-21.16,-0.68,-11.34
-23.44,-0.1,-11.99
26.69,-0.91,1.26
26.35,-1.15,0.82
-72.9,-0.41,0.8
-22.5,-0.99,-11.43
-73.08,-1.15,1.35
-71.21,1.41,0.93
-20.46,-1.97,-12.18
25.83,-0.82,27.11
-78.28,-48.78,2.75
-28.31,-49.39,15.15
-26.82,0.97,-9.95
-22.4,0.98,-9.42
29.31,-0.1,3.64
28.92,-1.04,3.35
-23.01,-0.92,15.86
27.03,-0.54,2.97
-21.01,-0.74,-10.09
-22.6,-1.42,-11.14
27.39,-0.76,1.63
27.61,-1.56,1.97
28.04,-0.86,1.79
-22.02,-1.6,13.97
-23.38,-1.75,13.92
-23.1,-1.14,13.56
-22.38,-2.96,-12.39
-22.41,-0.83,-12.34
-24.07,-1.35,-12.57
27.21,0.12,0.31
28.54,-0.24,0.31
-23.31,1.76,12.98
75.41,1.61,-11.87
74.54,-1.93,-12.17
72.64,-2.08,-11.77
-26.53,-0.92,13.54
25.31,-0.71,0.92
76.46,-0.57,13.62
27.66,0.43,0.96
26.57,0.74,0.66
26.73,1.15,0.62
26.19,-0.66,0.52
27.95,-0.54,0.13
26.69,-1.94,0.41
25.72,-1.31,-0.03
-23.96,-1.66,-13.24
26.71,-1.05,-0.27
27.72,-2.33,-0.15
27.32,-1.43,0.1
-23.16,-49.84,12.29
25.78,-2.74,-0.62
-24.95,-2.59,12.93
-75.8,-2.51,-0.57
23.34,-2.6,-25.27
-80.11,2.7,0.32
-78.78,1.56,0.55
-26.84,0.03,14.67
24.84,3.81,27.05
-25.94,4.98,-12.12
-25,2.47,-12.15
-23.47,1.33,-12.03
26.35,1.27,1.2
27.03,2,0.74
27.79,0.1,0.43
75.02,-0.15,-11.54
-25.29,-49.72,13.03
-28.13,1.04,13.86
-30.09,1.53,14.59
-75.51,0.26,0.94
24.49,1.05,-24.35
26.3,0.85,-24
-75.6,-46.63,1.04
-75.15,-50.26,0.94
-75.55,-49.27,0.86
-23.43,-0.76,-11.63
76.21,-1.4,14.56
-26.12,-0.98,-10.98
-24.07,-0.35,14.02
26.53,-49.36,1.02
-25.29,-0.81,-11.8
23.43,-0.66,26.73
-24.57,0.08,-11.36
-24.71,0.17,-12.38
-22.32,0.06,-12.39
24.81,-2.47,1.09
28,-0.13,0.77
30.59,-0.06,-0.49
27.02,-2.05,-1.07
27.09,-1.37,-1.18
28.13,0.06,-1.11
29.39,1.37,-1.25
29.33,1.64,-1.52
26.94,2.51,-1.48
26.51,2.32,-1.78
25.97,0.74,-1.95
25.67,0.41,-1.99
-23.56,-0.66,10.39
-23.63,1.3,10.88
24.08,1.02,-1.19
24.44,0.99,-1.18
-75.16,-0.21,-1.86
-75.88,0.43,-1.73
23.28,-1.19,-0.54
-75.31,-1.32,-0.81
74.04,0.96,-12.99
-27.84,1.65,12.63
23.65,2.37,0.01
-29.35,0.91,13.07
-26.58,1.57,-12.95
-80.44,2.27,0.82
-77.97,1.85,-0.2
