uf,vf,wf
28.22,-3.88,-0.28
28.0,-4.67,-0.21
27.97,-3.59,-0.4
29.26,-4.49,-0.15
28.36,-2.36,-0.03
31.4,-1.33,-0.35
31.2,-3.31,-0.52
27.3,-1.84,-0.43
28.22,-5.79,-0.41
30.52,-3.07,-0.52
32.1,-0.52,-0.27
30.52,-3.04,-0.51
29.12,0.89,-0.26
29.21,-4.08,-0.7
28.6,-2.61,-0.26
30.95,-2.4,0.74
31.79,-3.37,0.24
31.36,-4.5,-0.05
30.93,-3.06,-0.43
32.87,-5.24,-0.65
32.82,-7.02,-0.92
31.075,-4.505,0.35
30.2025,-3.2475,0.985
29.7662,-2.6188,1.3025
29.5481,-2.3044,1.4613
29.439,-2.1472,1.5406
29.3845,-2.0686,1.5803
29.3572,-2.0293,1.6002
29.3436,-2.0096,1.6101
29.3368,-1.9998,1.6151
29.3334,-1.9949,1.6176
29.3317,-1.9924,1.6188
29.33,-1.99,1.62
31.47,0.46,1.62
31.29,0.99,1.83
33.27,-1.44,0.51
32.64,-0.92,-0.38
32.1,-1.26,-0.13
31.97,-0.07,-0.77
33.91,-1.09,-1.53
34.17,-3.945,-0.425
34.3,-5.3725,0.1275
34.365,-6.0862,0.4038
34.3975,-6.4431,0.5419
34.43,-6.8,0.68
31.87,-4.77,0.225
29.31,-2.74,-0.23
29.21,-4.54,0.15
31.58,-1.65,0.63
31.25,0.12,0.34
31.09,-1.75,0.38
31.36,-0.82,0.12
29.46,1.56,0.7
27.7,-1.62,0.46
29.8,-0.86,0.38
29.995,-0.335,-0.19
30.0925,-0.0725,-0.475
30.1412,0.0588,-0.6175
30.1656,0.1244,-0.6888
30.1778,0.1572,-0.7244
30.1839,0.1736,-0.7422
30.187,0.1818,-0.7511
30.1885,0.1859,-0.7555
30.19,0.19,-0.76
29.645,0.08,-0.515
29.1,-0.03,-0.27
27.925,1.98,0.005
27.3375,2.985,0.1425
27.0438,3.4875,0.2112
26.8969,3.7388,0.2456
26.8234,3.8644,0.2628
26.75,3.99,0.28
26.6,4.08,0.68
25.7,3.5,1.08
29.66,2.96,-0.19
29.2,1.52,0.755
28.74,0.08,1.7
26.98,-1.79,1.37
29.96,-0.31,2.11
31.47,-3.4,2.16
30.23,-0.55,1.75
28.11,-4.54,1.42
28.245,-3.265,1.57
28.38,-1.99,1.72
27.13,-2.725,1.83
25.88,-3.46,1.94
27.02,-2.36,2.25
27.59,-1.81,2.405
28.16,-1.26,2.56
27.43,-0.89,2.76
28.29,-0.76,2.08
26.93,-0.94,1.53
30.3,-0.73,1.93
28.87,0.77,1.64
28.23,0.355,1.32
27.59,-0.06,1.0
24.37,-0.92,0.91
25.88,-0.24,1.64
26.87,-1.25,1.89
27.45,-2.1,2.22
28.38,-1.38,1.97
27.14,-1.42,2.08
26.97,-1.34,1.61
26.885,-1.3,1.375
26.8,-1.26,1.14
27.31,0.17,1.005
27.565,0.885,0.9375
27.6925,1.2425,0.9038
27.7562,1.4213,0.8869
27.7881,1.5106,0.8784
27.804,1.5553,0.8742
27.812,1.5776,0.8721
27.816,1.5888,0.871
27.818,1.5944,0.8705
27.82,1.6,0.87
28.76,1.26,0.89
29.24,0.54,0.46
30.52,3.35,0.43
31.63,1.98,-0.12
31.72,0.68,0.27
30.54,-2.51,-0.82
27.64,-2.3,-0.585
26.19,-2.195,-0.4675
25.465,-2.1425,-0.4088
24.74,-2.09,-0.35
27.59,-1.63,0.87
28.24,-0.54,0.82
27.82,0.68,0.38
27.095,-0.285,0.43
26.7325,-0.7675,0.455
26.37,-1.25,0.48
26.06,-2.94,0.73
25.475,-1.605,0.975
24.89,-0.27,1.22
25.225,0.04,1.145
25.56,0.35,1.07
25.02,-0.15,1.345
24.48,-0.65,1.62
26.125,-0.68,1.54
27.77,-0.71,1.46
25.38,0.0,2.41
27.21,-0.46,2.06
26.915,0.92,1.36
26.7675,1.61,1.01
26.6938,1.955,0.835
26.6569,2.1275,0.7475
26.62,2.3,0.66
26.64,0.825,0.38
26.65,0.0875,0.24
26.66,-0.65,0.1
27.39,-1.99,0.31
27.95,0.6,0.8
26.87,-0.99,0.46
28.29,-1.09,0.41
28.27,0.8,-0.08
28.63,1.0,0.31
28.2,1.24,0.07
27.75,0.44,0.17
26.19,-0.71,-0.1
26.73,-1.75,0.55
26.46,0.2,0.66
27.07,-0.86,0.65
26.06,-0.83,0.98
27.37,-2.99,0.98
27.91,-3.9,0.91
26.815,-2.275,0.795
26.2675,-1.4625,0.7375
25.9938,-1.0562,0.7088
25.72,-0.65,0.68
28.02,0.06,1.11
26.17,-1.72,0.55
26.71,-2.52,0.57
27.16,-2.78,0.31
28.61,-0.65,0.24
27.81,0.7,0.34
27.035,0.455,0.375
26.26,0.21,0.41
27.54,1.44,0.26
24.79,3.92,-0.43
27.16,-0.27,-0.12
27.88,0.2,0.51
26.67,0.38,0.27
26.26,-0.775,-0.15
26.055,-1.3525,-0.36
25.9525,-1.6412,-0.465
25.9012,-1.7856,-0.5175
25.85,-1.93,-0.57
27.375,-0.76,-0.2
28.1375,-0.175,-0.015
28.9,0.41,0.17
27.355,1.37,1.13
26.5825,1.85,1.61
26.1962,2.09,1.85
26.0031,2.21,1.97
25.9066,2.27,2.03
25.8583,2.3,2.06
25.8342,2.315,2.075
25.8221,2.3225,2.0825
25.816,2.3262,2.0862
25.81,2.33,2.09
25.74,2.115,1.735
25.705,2.0075,1.5575
25.67,1.9,1.38
25.85,1.42,1.47
23.87,2.58,2.49
25.4,1.48,2.08
24.67,1.14,2.94
23.2,2.3,3.11
25.035,2.24,2.815
25.9525,2.21,2.6675
26.4112,2.195,2.5938
26.87,2.18,2.52
27.84,-1.11,2.26
27.28,-1.68,2.04
26.66,-0.43,2.1
26.71,-0.44,2.17
26.78,0.87,2.05
27.0,0.74,1.89
24.16,-0.2,1.96
25.24,-0.8,2.38
26.85,-1.55,1.84
29.51,-2.03,2.06
28.67,-2.16,1.31
29.35,-1.24,1.35
29.49,-1.31,0.97
27.72,-1.35,0.37
29.24,-1.63,0.17
29.64,-1.42,-0.28
29.08,-3.57,-0.1
27.275,-5.27,0.265
26.3725,-6.12,0.4475
25.9212,-6.545,0.5388
25.47,-6.97,0.63
23.37,-6.62,1.09
27.7,-0.24,1.97
29.87,0.4,2.71
30.64,-0.55,2.36
28.74,-0.26,2.29
28.9,2.19,1.98
29.295,1.11,1.285
29.69,0.03,0.59
28.74,1.155,0.65
28.265,1.7175,0.68
28.0275,1.9987,0.695
27.9088,2.1394,0.7025
27.8494,2.2097,0.7062
27.8197,2.2448,0.7081
27.8048,2.2624,0.709
27.79,2.28,0.71
28.33,-2.16,0.4
30.34,-0.62,-0.03
29.565,-2.295,-0.115
29.1775,-3.1325,-0.1575
28.9838,-3.5512,-0.1788
28.8869,-3.7606,-0.1894
28.8384,-3.8653,-0.1947
28.79,-3.97,-0.2
28.99,-0.73,-0.05
28.93,-1.845,0.11
28.87,-2.96,0.27
29.26,-3.73,-0.52
28.85,-1.61,-0.43
29.94,-3.0,-0.8
30.265,-2.54,-0.955
30.59,-2.08,-1.11
26.66,-4.43,-0.7
28.3,-3.725,-0.905
29.12,-3.3725,-1.0075
29.94,-3.02,-1.11
31.06,-2.44,-1.3
30.46,-5.13,-1.35
30.03,-1.29,-1.42
29.73,-4.19,-1.94
28.92,-6.03,-1.76
29.8,-2.53,-1.93
29.92,-1.75,-1.47
28.16,-3.31,-1.2
26.4,-4.87,-0.93
28.09,-2.295,-1.23
29.78,0.28,-1.53
28.315,0.86,-1.475
26.85,1.44,-1.42
27.92,1.35,-1.48
28.455,1.305,-1.51
28.7225,1.2825,-1.525
28.99,1.26,-1.54
29.73,-0.13,-1.86
29.51,3.88,-1.9
29.115,1.345,-2.135
28.72,-1.19,-2.37
27.34,-3.03,-1.73
27.3,-2.87,-1.1
27.445,-1.18,-0.685
27.59,0.51,-0.27
28.06,0.63,-0.51
28.635,0.67,-0.695
29.21,0.71,-0.88
29.44,0.1,-0.66
29.79,0.46,-0.99
30.14,0.82,-1.32
30.05,-0.77,-1.21
30.005,-1.565,-1.155
29.9825,-1.9625,-1.1275
29.9712,-2.1612,-1.1138
29.9656,-2.2606,-1.1069
29.9628,-2.3103,-1.1034
29.9614,-2.3351,-1.1017
29.9607,-2.3476,-1.1008
29.9604,-2.3538,-1.1004
29.96,-2.36,-1.1
28.42,-0.34,-0.68
27.88,0.045,-1.63
27.61,0.2375,-2.105
27.475,0.3338,-2.3425
27.4075,0.3819,-2.4612
27.3738,0.406,-2.5206
27.3569,0.418,-2.5503
27.3484,0.424,-2.5652
27.3442,0.427,-2.5726
27.3421,0.4285,-2.5763
27.341,0.4292,-2.5782
27.3405,0.4296,-2.5791
27.3402,0.4298,-2.5796
27.3401,0.4299,-2.5798
27.34,0.43,-2.5799
27.34,0.43,-2.58
27.34,0.43,-2.58
26.775,1.015,-1.7
26.4925,1.3075,-1.26
26.3512,1.4538,-1.04
26.2806,1.5269,-0.93
26.21,1.6,-0.82
25.67,0.07,-1.31
25.81,0.52,-1.37
25.09,0.57,-1.62
26.33,1.1,-1.64
25.74,-0.26,-1.47
24.93,1.46,-1.55
24.08,-0.55,-1.66
22.78,-1.63,-1.46
23.07,1.81,-1.63
25.215,1.165,-1.34
26.2875,0.8425,-1.195
26.8238,0.6812,-1.1225
27.0919,0.6006,-1.0863
27.36,0.52,-1.05
26.64,1.97,-1.06
25.92,3.42,-1.07
26.39,-0.38,-1.31
28.92,1.37,-0.87
27.18,-1.37,-0.68
27.045,0.925,-0.355
26.9775,2.0725,-0.1925
26.9438,2.6463,-0.1112
26.9269,2.9332,-0.0706
26.9184,3.0766,-0.0503
26.9142,3.1483,-0.0402
26.9121,3.1841,-0.0351
26.911,3.202,-0.0325
26.9105,3.211,-0.0312
26.9102,3.2155,-0.0306
26.91,3.22,-0.03
26.62,1.91,-0.47
26.475,1.255,-0.69
26.4025,0.9275,-0.8
26.3662,0.7637,-0.855
26.3481,0.6819,-0.8825
26.339,0.6409,-0.8962
26.3345,0.6204,-0.9031
26.3322,0.6102,-0.9066
26.3311,0.6051,-0.9083
26.3306,0.6025,-0.9092
26.3303,0.6013,-0.9096
26.3302,0.6006,-0.9098
26.3301,0.6003,-0.9099
26.33,0.6002,-0.91
26.33,0.6001,-0.91
26.33,0.6,-0.91
26.33,0.6,-0.91
26.33,0.6,-0.91
26.33,0.6,-0.91
26.33,0.6,-0.91
25.46,0.765,-0.09
25.025,0.8475,0.32
24.8075,0.8888,0.525
24.6988,0.9094,0.6275
24.6444,0.9197,0.6788
24.6172,0.9248,0.7044
24.6036,0.9274,0.7172
24.5968,0.9287,0.7236
24.59,0.93,0.73
26.93,1.53,0.99
24.95,0.31,1.22
25.3,0.29,0.91
25.475,0.28,0.755
25.65,0.27,0.6
26.0,0.95,0.305
26.175,1.29,0.1575
26.35,1.63,0.01
26.21,-0.03,-0.23
25.95,1.045,-0.385
25.82,1.5825,-0.4625
25.755,1.8512,-0.5012
25.69,2.12,-0.54
25.56,1.87,-0.82
25.705,1.61,-0.06
25.7775,1.48,0.32
25.8138,1.415,0.51
25.8319,1.3825,0.605
25.841,1.3662,0.6525
25.8455,1.3581,0.6762
25.8478,1.354,0.6881
25.8489,1.352,0.6941
25.8494,1.351,0.697
25.8497,1.3505,0.6985
25.8498,1.3502,0.6992
25.8499,1.3501,0.6996
25.85,1.35,0.6998
25.85,1.35,0.7
26.51,0.63,-0.01
27.34,1.48,-0.06
26.32,-1.02,-0.08
25.52,-1.02,-0.31
24.41,0.15,-0.13
25.49,-1.37,-0.17
25.24,-0.24,-0.44
23.81,0.13,0.0
24.31,0.635,0.0
24.56,0.8875,0.0
24.685,1.0138,0.0
24.7475,1.0769,0.0
24.7788,1.1084,0.0
24.81,1.14,0.0
25.545,1.425,0.16
26.28,1.71,0.32
25.94,-0.91,-0.17
26.03,-2.8,0.01
25.475,-1.5,0.26
25.1975,-0.85,0.385
25.0588,-0.525,0.4475
24.9894,-0.3625,0.4788
24.9547,-0.2812,0.4944
24.92,-0.2,0.51
24.58,1.97,0.3
25.11,1.97,0.4
25.51,-1.32,0.06
25.58,-1.55,-0.1
26.755,-0.875,-0.405
27.3425,-0.5375,-0.5575
27.6362,-0.3688,-0.6338
27.93,-0.2,-0.71
26.91,-0.17,-1.07
28.36,0.23,-1.03
28.04,1.79,-1.42
27.52,1.15,-1.37
25.65,1.31,-0.97
26.565,1.065,-1.11
27.0225,0.9425,-1.18
27.48,0.82,-1.25
27.23,1.29,-1.37
25.85,-1.26,-1.26
26.44,-0.21,-1.37
26.84,-0.55,-0.89
28.49,0.92,-0.78
28.4,-0.05,-0.89
28.355,-0.535,-0.945
28.3325,-0.7775,-0.9725
28.3212,-0.8988,-0.9862
28.31,-1.02,-1.0
26.925,-0.39,-0.785
26.2325,-0.075,-0.6775
25.8862,0.0825,-0.6238
25.54,0.24,-0.57
25.165,-1.35,-0.1
24.9775,-2.145,0.135
24.8838,-2.5425,0.2525
24.8369,-2.7412,0.3113
24.79,-2.94,0.37
23.7,-1.98,0.68
24.04,-1.09,0.88
24.45,-0.355,0.875
24.655,0.0125,0.8725
24.86,0.38,0.87
28.23,-0.065,-0.02
29.915,-0.2875,-0.465
30.7575,-0.3988,-0.6875
31.1788,-0.4544,-0.7988
31.3894,-0.4822,-0.8544
31.4947,-0.4961,-0.8822
31.5474,-0.503,-0.8961
31.6,-0.51,-0.91
28.635,-0.475,-0.66
25.67,-0.44,-0.41
26.97,-1.26,-0.99
27.62,-1.67,-1.28
27.945,-1.875,-1.425
28.27,-2.08,-1.57
29.305,-1.34,-1.125
29.8225,-0.97,-0.9025
30.0812,-0.785,-0.7912
30.2106,-0.6925,-0.7356
30.2753,-0.6462,-0.7078
30.3076,-0.6231,-0.6939
30.34,-0.6,-0.68
31.355,0.36,-1.28
31.8625,0.84,-1.58
32.1162,1.08,-1.73
32.37,1.32,-1.88
28.795,1.715,-1.255
27.0075,1.9125,-0.9425
26.1138,2.0112,-0.7862
25.6669,2.0606,-0.7081
25.4434,2.0853,-0.669
25.22,2.11,-0.63
26.38,1.745,-0.695
26.96,1.5625,-0.7275
27.54,1.38,-0.76
29.15,1.08,-0.97
28.65,0.77,-1.03
27.12,0.74,-0.46
26.24,0.0,-0.23
24.92,0.88,0.15
25.11,0.94,0.1
23.37,-1.51,0.41
26.51,-0.86,0.78
25.555,0.29,1.265
25.0775,0.865,1.5075
24.6,1.44,1.75
24.07,3.99,2.1
23.61,1.26,1.3
24.62,0.875,1.91
25.63,0.49,2.52
24.36,0.49,2.98
25.17,1.85,2.17
24.32,1.25,2.38
25.175,1.25,2.395
26.03,1.25,2.41
25.6,0.46,2.63
27.25,-2.97,2.26
27.99,1.0,2.45
27.77,-0.93,2.59
25.0,0.15,2.25
26.215,-0.53,1.48
26.8225,-0.87,1.095
27.1262,-1.04,0.9025
27.2781,-1.125,0.8062
27.43,-1.21,0.71
27.715,-0.43,0.975
27.8575,-0.04,1.1075
28.0,0.35,1.24
25.76,0.435,0.775
24.64,0.4775,0.5425
23.52,0.52,0.31
23.7,3.57,0.17
24.66,3.97,0.6
26.44,3.55,0.52
27.54,2.07,0.32
26.69,1.65,-0.24
25.2,0.87,-0.38
26.15,0.68,-0.82
25.51,-1.19,-0.77
27.3,-0.46,-1.42
26.12,-0.13,-1.35
25.31,-1.94,-0.6
26.03,1.75,-0.6
24.84,1.71,-0.54
25.76,0.27,-1.32
26.06,1.41,-1.09
26.97,1.325,-0.585
27.88,1.24,-0.08
28.79,1.63,-0.1
28.65,-0.31,0.1
29.35,-1.7,0.13
28.99,-0.32,0.17
29.31,3.26,-0.31
26.66,1.97,-0.1
28.31,1.74,-0.74
29.87,2.08,-0.93
30.27,1.83,-0.49
29.69,0.88,-0.82
29.87,-0.44,-1.14
30.88,0.08,-1.75
28.45,-2.26,-1.05
28.45,0.13,-1.07
27.02,0.03,-1.21
26.23,-0.94,-1.21
27.45,-3.2,-0.7
28.99,0.91,-0.54
27.59,-0.07,-0.74
27.32,-1.62,-0.49
27.52,0.66,-0.54
28.33,0.26,-0.74
26.19,1.03,-0.38
25.52,0.88,-0.17
26.08,1.6,0.19
26.76,-3.88,0.8
25.44,-1.75,0.98
25.555,-0.645,0.895
25.6125,-0.0925,0.8525
25.6412,0.1838,0.8312
25.67,0.46,0.81
26.28,0.2,0.88
26.89,-0.07,0.81
26.62,0.19,0.7
26.665,0.53,0.735
26.71,0.87,0.77
26.915,0.01,0.515
27.0175,-0.42,0.3875
27.0688,-0.635,0.3238
27.0944,-0.7425,0.2919
27.12,-0.85,0.26
26.89,-0.35,0.13
29.12,-1.1,0.21
27.825,0.185,-0.115
27.1775,0.8275,-0.2775
26.8538,1.1488,-0.3588
26.53,1.47,-0.44
26.71,-0.23,-1.1
24.28,-0.2,-0.78
25.08,-0.66,-0.92
23.65,-0.43,-0.43
25.56,1.75,-0.12
26.06,1.68,-0.38
27.3,1.42,-0.57
27.57,0.93,-0.51
29.15,0.43,-0.87
27.73,-0.48,-0.41
25.47,-1.21,-0.8
26.85,0.41,-2.25
29.49,-0.515,-1.475
30.81,-0.9775,-1.0875
31.47,-1.2088,-0.8938
31.8,-1.3244,-0.7969
31.965,-1.3822,-0.7485
32.0475,-1.4111,-0.7243
32.0888,-1.4255,-0.7122
32.1094,-1.4328,-0.7061
32.1197,-1.4364,-0.703
32.1248,-1.4382,-0.7015
32.1274,-1.4391,-0.7008
32.13,-1.44,-0.7
31.055,-0.37,-0.675
30.5175,0.165,-0.6625
30.2488,0.4325,-0.6562
29.98,0.7,-0.65
27.7,-2.83,-0.85
27.575,-1.185,-0.43
27.45,0.46,-0.01
26.46,1.245,0.365
25.47,2.03,0.74
25.58,3.7,1.04
24.92,1.88,1.05
27.02,-1.075,1.815
28.07,-2.5525,2.1975
29.12,-4.03,2.58
29.075,-4.22,1.95
29.03,-4.41,1.32
26.21,-1.94,1.44
26.69,-0.88,0.76
27.07,-1.37,0.76
29.49,-1.87,0.88
26.87,-0.7,0.71
27.23,0.38,0.76
24.48,3.97,1.09
23.7,1.64,1.18
23.64,2.18,1.4
26.53,1.54,1.24
29.39,-1.67,1.27
28.06,-0.37,0.77
27.395,0.28,0.52
27.0625,0.605,0.395
26.8962,0.7675,0.3325
26.8131,0.8488,0.3012
26.7716,0.8894,0.2856
26.7508,0.9097,0.2778
26.7404,0.9198,0.2739
26.7352,0.9249,0.272
26.7326,0.9275,0.271
26.73,0.93,0.27
27.0,1.27,0.08
25.31,2.72,0.24
25.0,1.54,0.54
23.83,4.89,0.35
24.24,3.805,0.635
24.445,3.2625,0.7775
24.65,2.72,0.92
25.215,2.23,0.69
25.78,1.74,0.46
26.08,1.15,0.99
26.1,1.095,0.94
26.12,1.04,0.89
27.21,-0.35,0.88
24.33,2.01,1.09
27.88,0.74,1.81
28.13,0.15,1.61
31.13,-0.65,1.35
28.55,0.415,1.195
27.26,0.9475,1.1175
26.615,1.2138,1.0787
26.2925,1.3469,1.0594
26.1312,1.4135,1.0497
25.97,1.48,1.04
26.24,1.51,0.99
25.2,1.7,1.55
25.13,3.17,1.54
28.15,3.46,0.62
23.79,1.13,1.61
23.96,1.29,1.33
26.01,-2.52,1.16
30.97,-2.77,0.44
30.34,-3.06,0.17
27.495,-1.79,0.815
26.0725,-1.155,1.1375
24.65,-0.52,1.46
27.79,-0.375,1.505
29.36,-0.3025,1.5275
30.145,-0.2662,1.5388
30.5375,-0.2481,1.5444
30.93,-0.23,1.55
26.96,-0.35,2.0
27.34,-0.125,1.285
27.53,-0.0125,0.9275
27.625,0.0438,0.7488
27.6725,0.0719,0.6594
27.72,0.1,0.57
28.85,1.52,0.91
27.63,1.89,0.62
27.3,-0.46,1.04
26.51,-1.05,0.73
28.27,-0.57,0.66
31.45,-0.31,1.04
27.09,1.14,1.37
27.79,1.37,0.82
28.63,0.52,0.44
27.45,1.43,0.49
28.355,1.685,0.055
28.8075,1.8125,-0.1625
29.0338,1.8762,-0.2712
29.1469,1.9081,-0.3256
29.26,1.94,-0.38
25.45,2.92,0.31
24.19,2.71,0.59
25.49,3.06,0.57
27.63,1.97,0.74
26.75,2.38,0.13
26.26,2.09,-0.01
25.85,2.38,-0.06
26.15,2.05,-0.1
25.79,2.31,-0.19
25.94,2.17,-0.24
25.69,2.27,-0.54
25.83,2.76,-0.87
25.29,1.36,-1.09
25.18,2.61,-0.81
25.31,0.63,-0.98
26.62,3.42,-1.48
26.8,2.84,-1.13
27.34,2.185,-0.18
27.61,1.8575,0.295
27.745,1.6938,0.5325
27.8125,1.6119,0.6512
27.8462,1.571,0.7106
27.8631,1.5505,0.7403
27.8716,1.5402,0.7552
27.8758,1.5351,0.7626
27.8779,1.5326,0.7663
27.879,1.5313,0.7682
27.8795,1.5306,0.7691
27.8798,1.5303,0.7696
27.8799,1.5301,0.7698
27.88,1.5301,0.7699
27.88,1.5301,0.77
27.88,1.5301,0.77
27.88,1.5301,0.77
27.88,1.53,0.77
24.04,2.96,0.94
25.365,1.025,1.1
26.0275,0.0575,1.18
26.3588,-0.4262,1.22
26.5244,-0.6681,1.24
26.6072,-0.789,1.25
26.6486,-0.8495,1.255
26.6693,-0.8798,1.2575
26.69,-0.91,1.26
26.35,-1.15,0.82
27.83,-0.625,2.23
28.57,-0.3625,2.935
28.94,-0.2312,3.2875
29.125,-0.1656,3.4638
29.2175,-0.1328,3.5519
29.2638,-0.1164,3.596
29.2869,-0.1082,3.618
29.2984,-0.1041,3.629
29.3042,-0.102,3.6345
29.3071,-0.101,3.6372
29.31,-0.1,3.64
28.92,-1.04,3.35
27.975,-0.79,3.16
27.03,-0.54,2.97
27.21,-0.65,2.3
27.3,-0.705,1.965
27.39,-0.76,1.63
27.61,-1.56,1.97
28.04,-0.86,1.79
27.625,-0.37,1.05
27.4175,-0.125,0.68
27.3138,-0.0025,0.495
27.2619,0.0588,0.4025
27.236,0.0894,0.3562
27.223,0.1047,0.3331
27.21,0.12,0.31
28.54,-0.24,0.31
26.925,-0.475,0.615
26.1175,-0.5925,0.7675
25.7137,-0.6512,0.8438
25.5118,-0.6806,0.8819
25.4109,-0.6953,0.901
25.31,-0.71,0.92
26.485,-0.14,0.94
27.66,0.43,0.96
26.57,0.74,0.66
26.73,1.15,0.62
26.19,-0.66,0.52
27.95,-0.54,0.13
26.69,-1.94,0.41
25.72,-1.31,-0.03
26.215,-1.18,-0.15
26.71,-1.05,-0.27
27.72,-2.33,-0.15
27.32,-1.43,0.1
26.55,-2.085,-0.26
25.78,-2.74,-0.62
26.065,-0.735,0.29
26.2075,0.2675,0.745
26.2788,0.7688,0.9725
26.3144,1.0194,1.0862
26.3322,1.1447,1.1431
26.3411,1.2074,1.1715
26.3456,1.2387,1.1858
26.3478,1.2544,1.1929
26.3489,1.2622,1.1964
26.3494,1.2661,1.1982
26.35,1.27,1.2
27.03,2.0,0.74
27.79,0.1,0.43
26.3,-1.185,0.76
25.555,-1.8275,0.925
25.1825,-2.1488,1.0075
24.9962,-2.3094,1.0488
24.9031,-2.3897,1.0694
24.8566,-2.4298,1.0797
24.8333,-2.4499,1.0849
24.8216,-2.46,1.0874
24.8158,-2.465,1.0887
24.8129,-2.4675,1.0894
24.8114,-2.4688,1.0897
24.8107,-2.4694,1.0898
24.8104,-2.4697,1.0899
24.8102,-2.4698,1.09
24.8101,-2.4699,1.09
24.81,-2.47,1.09
